Title,Author,Average Rating,Rating,Year Published,Edition
Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.92,"61,196",2015,23
Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,4.02,"71,898",1998,99
Fragile Things: Short Fictions and Wonders,Neil Gaiman,3.96,"69,826",2006,110
What She Left Behind: A Haunting and Heartbreaking Story of 1920s Historical Fiction,Ellen Marie Wiseman,3.99,"57,412",2015,54
Collected Fictions,Jorge Luis Borges,4.57,"23,960",1998,63
Better Than Fiction,Alexa  Martin,3.42,"10,772",2022,8
True Fiction (Ian Ludlow Thrillers #1),Lee Goldberg,3.99,"17,268",2018,8
The Red Badge of Courage and Selected Short Fiction,Stephen Crane,3.66,"28,012",1895,10
Non-Fiction,Chuck Palahniuk,3.57,"22,584",2004,7
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,4.27,"10,013",2017,10
Heart of Darkness and Selected Short Fiction,Joseph Conrad,3.77,"23,417",1899,17
Swami and Friends,R.K. Narayan,4.22,"13,134",1935,70
The Complete Fiction,H.P. Lovecraft,4.33,"14,040",2008,22
The Fiction Writer,Jillian Cantor,3.22,"2,307",2023,2
Octavia's Brood: Science Fiction Stories from Social Justice Movements,Adrienne Maree Brown,3.94,"4,022",2015,6
Ethan Frome and Other Short Fiction,Edith Wharton,3.67,"15,166",1911,14
Self-Editing for Fiction Writers: How to Edit Yourself Into Print,Renni Browne,4.24,"6,732",1993,19
The Neil Gaiman Reader: Selected Fiction,Neil Gaiman,4.48,"1,839",2020,19
"The Fiction Between Us (Honeywood, #2)",Julie Olivia,3.86,"4,199",2022,5
"Monster, She Wrote: The Women Who Pioneered Horror and Speculative Fiction",Lisa Kröger,4.06,"3,956",2019,9
"Monster, She Wrote: The Women Who Pioneered Horror and Speculative Fiction",Lisa Kröger,4.06,"3,956",2019,9
"The Science Fiction Hall of Fame, Volume One, 1929-1964",Robert Silverberg,4.32,"6,172",1970,27
The Art of Fiction: Notes on Craft for Young Writers,John Gardner,3.99,"6,021",1984,27
Invisible Planets: Contemporary Chinese Science Fiction in Translation,Ken Liu,4.04,"4,817",2016,17
The Diviners,Margaret Laurence,4.18,"7,683",1974,56
Wonderbook: The Illustrated Guide to Creating Imaginative Fiction,Jeff VanderMeer,4.34,"3,899",2013,14
Surviving The Forest,Adiva Geffen,4.25,"4,699",0,8
Craft in the Real World: Rethinking Fiction Writing and Workshopping,Matthew Salesses,4.48,"2,060",2021,8
Look at the Birdie: Unpublished Short Fiction,Kurt Vonnegut Jr.,3.97,"7,906",2009,43
A People's Future of the United States: Speculative Fiction from 25 Extraordinary Writers,Victor LaValle,3.79,"2,658",2019,1
While Mortals Sleep: Unpublished Short Fiction,Kurt Vonnegut Jr.,3.83,"6,617",2011,11
Seven Stones to Stand or Fall: A Collection of Outlander Fiction,Diana Gabaldon,4.27,"15,763",2017,2
The Point of Light (Historical Fiction #1),John Ellsworth,4.20,"2,621",2019,4
Paperback Crush: The Totally Radical History of '80s and '90s Teen Fiction,Gabrielle Moss,3.76,"3,843",2018,8
Fan Fiction,Brent Spiner,3.52,"3,438",2021,1
A Blink of the Screen: Collected Shorter Fiction,Terry Pratchett,4.04,"6,304",2012,27
The art of fiction,Walter Besant,3.66,"1,112",1884,60
Fools Crow,James Welch,4.03,"4,852",1986,39
My Pen is the Wing of a Bird: New Fiction by Afghan Women,Lyse Doucet,4.28,"1,354",0,7
Dark Matter: A Century of Speculative Fiction from the African Diaspora,Sheree Renée Thomas,4.16,"1,378",2000,11
A Different Pond (Fiction Picture Books),Bao Phi,4.28,"5,284",2017,10
A Slip of the Keyboard: Collected Non-Fiction,Terry Pratchett,4.24,"5,701",2014,28
Writing the Breakout Novel: Insider Advice for Taking Your Fiction to the Next Level,Donald Maass,4.08,"3,980",2001,10
Africa Risen: A New Era of Speculative Fiction,Sheree Renée Thomas,3.80,789,2022,9
How to Write Science Fiction & Fantasy,Orson Scott Card,3.91,"4,741",1990,5
Broken Stars: Contemporary Chinese Science Fiction in Translation,Ken Liu,3.85,"2,401",2019,21
Pulp Fiction: A Quentin Tarantino Screenplay,Quentin Tarantino,4.21,"6,254",1994,39
Elements of Fiction Writing: Characters & Viewpoint,Orson Scott Card,4.04,"4,611",1988,25
Best Ghost Stories of Algernon Blackwood,Algernon Blackwood,4.15,"3,068",1973,15
Love After the End: An Anthology of Two-Spirit and Indigiqueer Speculative Fiction,Joshua Whitehead,4.19,"1,924",2019,11
Fat City,Leonard Gardner,4.02,"3,798",0,53
Mapping the World of Harry Potter: Science Fiction and Fantasy Writers Explore the Bestselling Series of All Time,Mercedes Lackey,4.31,"2,670",2005,5
The Emotional Craft of Fiction: How to Write the Story Beneath the Surface,Donald Maass,4.29,"2,312",2016,6
Homo Cosmicus 2: Titan: A Science Fiction Novel,Todor Bombov,4.34,647,0,1
"Ex Machina, Vol. 3: Fact v. Fiction",Brian K. Vaughan,3.94,"5,377",2006,8
"A Convenient Fiction (Parish Orphans of Devon, #3)",Mimi Matthews,4.26,"3,330",2019,8
Writing Fiction: A Guide to Narrative Craft,Janet Burroway,4.10,"3,502",1987,62
Firebirds: An Anthology of Original Fantasy and Science Fiction,Sharyn November,3.95,"3,726",2003,8
"The Science Fiction Hall of Fame: Volume II A (The Science Fiction Hall of Fame, #2A)",Ben Bova,4.32,"4,232",1973,29
"The Sons of Encouragement: Biblical Stories of Aaron, Caleb, Jonathan, Amos, and Silas",Francine Rivers,4.40,"2,240",2008,14
The Mad Scientist's Guide to World Domination: Original Short Fiction for the Modern Evil Genius,John Joseph Adams,3.62,"1,779",2013,22
Firebirds Rising: An Anthology of Original Science Fiction and Fantasy,Sharyn November,3.92,"3,017",2005,16
"Science Fictions: The Epidemic of Fraud, Bias, Negligence and Hype in Science",Stuart Ritchie,4.38,"1,974",2020,4
Selected Non-Fictions,Jorge Luis Borges,4.44,"2,299",1999,13
The Odd and the Strange: A Collection of Very Short Fiction,Harvey Havel,4.32,"1,207",0,2
New Suns: Original Speculative Fiction by People of Color,Nisi Shawl,3.85,"1,829",2019,10
"Last Summer at the Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #1)",Maggie   Miller,4.50,"2,449",0,2
The Almost Legendary Morris Sisters: A True Story of Family Fiction,Julie Klam,3.45,"1,315",2021,6
Shelter (Shelter Christian Fiction Trilogy Book 1),Robin Merrill,4.06,"2,348",2015,8
"Beginnings, Middles & Ends",Nancy Kress,3.99,"2,456",1992,24
The Art of Fiction,David Lodge,3.92,"2,878",1992,63
Where the God of Love Hangs Out: Fiction,Amy Bloom,3.55,"3,189",2009,26
"The Language of the Night: Essays on Writing, Science Fiction, and Fantasy",Ursula K. Le Guin,4.40,5,0,2
The Breakthrough Effect: A Science-Fiction Thriller,Douglas E. Richards,4.27,"2,342",0,2
Sisters of the Revolution: A Feminist Speculative Fiction Anthology,Ann VanderMeer,4.13,"1,244",2015,11
Gold: The Final Science Fiction Collection,Isaac Asimov,3.98,"3,256",1995,31
"The Fire in Fiction: Passion, Purpose and Techniques to Make Your Novel Great",Donald Maass,4.16,"1,756",2009,7
My Daughter’s Keeper,Adiva Geffen,4.53,"1,779",0,4
Real Life and Other Fictions,Susan Coll,3.72,18,0,2
Maps in a Mirror: The Short Fiction of Orson Scott Card,Orson Scott Card,4.01,"3,319",1990,19
The Skeptics' Guide to the Future: What Yesterday's Science and Science Fiction Tell Us About the World of Tomorrow,Steven Novella,4.09,830,2022,13
Tomorrowland: Our Journey from Science Fiction to Science Fact,Steven Kotler,3.76,"1,387",2015,7
The Motion of Light in Water: Sex and Science Fiction Writing in the East Village,Samuel R. Delany,4.32,"1,115",1988,28
The Turn of the Screw and Other Short Fiction,Henry James,3.77,"3,409",1981,14
Chasing Amanda (Mystery / Suspense) (Melissa Foster Stand-Alone Women's Fiction Novels),Melissa Foster,3.50,"3,335",2011,13
Lake of Souls: The Collected Short Fiction,Ann Leckie,4.13,107,2024,6
"The Art of War for Writers: Fiction Writing Strategies, Tactics, and Exercises",James Scott Bell,4.19,"1,597",2009,14
Secret Windows: Essays and Fiction on the Craft of Writing,Stephen King,4.08,"1,723",2000,13
The Little Disturbances of Man,Grace Paley,3.99,"1,999",1959,39
So Long Been Dreaming: Postcolonial Science Fiction and Fantasy,Nalo Hopkinson,4.00,802,2004,2
"A Place Called Freedom: A Vast, Thrilling Work of Historical Fiction",Ken Follett,4.05,"38,703",1995,148
The Little Disturbances of Man,Grace Paley,3.99,"1,999",1959,39
Miniatures: The Very Short Fiction of John Scalzi,John Scalzi,3.89,"3,196",2016,6
Hooked: Write Fiction That Grabs Readers at Page One & Never Lets Them Go,Les Edgerton,4.01,"1,909",2007,6
"Meanwhile, Elsewhere: Science Fiction and Fantasy from Transgender Writers",Cat Fitzpatrick,3.98,412,2017,2
"Stranger Than Fan Fiction (Unlucky in Love, #1)",Piper Sheldon,4.05,"1,133",2022,3
The Language of the Night: Essays on Fantasy and Science Fiction,Ursula K. Le Guin,4.24,"1,359",1979,29
"Shifting Sands at the Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #2)",Maggie   Miller,4.53,"2,178",0,2
Where We Belong:,Lynn Austin,4.24,"2,782",2017,15
"Alone With the Horrors: The Great Short Fiction, 1961-1991",Ramsey Campbell,3.95,"1,398",1993,2
The Book of Tokyo: A City in Short Fiction,Michael Emmerich,3.55,"1,147",2014,7
"Shifting Sands at the Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #2)",Maggie   Miller,4.53,"2,178",0,2
Political Fictions,Joan Didion,3.85,"1,411",2001,17
The Real Story of Ah-Q and Other Tales of China: The Complete Fiction of Lu Xun,Lu Xun,3.92,"1,104",2009,15
